Penticton-Okanagan Valley,James Patrick Cunningham,    GP,2669,0
Penticton-Okanagan Valley,Garry Litke,  NDP,10197,0
Penticton-Okanagan Valley,Jane Turnell,   IND,660,0
Port Coquitlam-Burke Mountain,Bill Aaroe,    GP,1691,0
Port Coquitlam-Burke Mountain,Lewis Dahlby,  LBN,90,0
Port Coquitlam-Burke Mountain,Mike Farnworth,  NDP,11844,1
Port Coquitlam-Burke Mountain,Greg Moore,   LIB,10752,0
Port Coquitlam-Burke Mountain,Anthony Yao,    SC,228,0
Port Moody-Westwood,Iain Black,   LIB,14161,1
Port Moody-Westwood,Arthur Crossman,   IND,227,0
Port Moody-Westwood,James Filippelli, YPBC,442,0
Port Moody-Westwood,Kathy Heisler,    GP,1670,0
Port Moody-Westwood,Karen Rockwell,  NDP,9848,0
Powell River-Sunshine Coast,Adriane Carr,    GP,6585,0
Powell River-Sunshine Coast,Maureen Clayton,   LIB,7702,0
Powell River-Sunshine Coast,Allen McIntyre, REFD,156,0
Powell River-Sunshine Coast,Nicholas Simons,  NDP,11099,1
Prince George-Mount Robson,Shirley Bond,   LIB,5885,1
Prince George-Mount Robson,Matthew James Burnett,  BCM,241,0
Prince George-Mount Robson,Wayne Mills,  NDP,4994,0
Prince George-Mount Robson,Paul Robert Nettleton,   IND,2158,0
Prince George-Mount Robson,Don Roberts,    GP,1053,0
Prince George North,Pat Bell,   LIB,7697,1
Prince George North,Denis L. Gendron,    GP,1201,0
Prince George North,Leif Jensen,   IND,443,0
Prince George North,Mike Mann, DRBC,241,0
Prince George North,Deborah Poff,  NDP,5598,0
Prince George North,Steve Wolfe,  BCM,235,0
Prince George-Omineca,Andrej J. DeWolf,    GP,1393,0
Prince George-Omineca,Chuck Fraser,  NDP,6180,0
Prince George-Omineca,Erle Martz, DRBC,479,0
Prince George-Omineca,John Rustad,   LIB,8622,1
Richmond Centre,Matthew Thomas Healy,  BCM,231,0
Richmond Centre,Olga Ilich,   LIB,10908,1
Richmond Centre,Dale Jackaman,  NDP,6051,0
Richmond Centre,Chris Segers,    GP,1436,0
Richmond East,Mohamud Ali Farah,   IND,207,0
Richmond East,Heidi Farnola,  BCM,191,0
