Nova Scotia
61
Nova Scotia,Guysborough-Sheet Harbour,Guysborough-Sheet Harbour,Ronnie Chisholm,Ronnie Chisholm,Progressive Conservative Association of Nova Scotia,1750,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jim Boudreau,Jim Boudreau,Nova Scotia New Democratic Party,3621,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Lloyd Hines,Lloyd Hines,Nova Scotia Liberal Party,1558,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Amy Florian,Amy Florian,Green Party of Nova Scotia,83,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Atlantic,Halifax Atlantic,Brian Phillips,Brian Phillips,Progressive Conservative Association of Nova Scotia,965,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Michele Raymond,Michele Raymond,Nova Scotia New Democratic Party,5253,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jim Hoskins,Jim Hoskins,Nova Scotia Liberal Party,2003,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Anthony Rosborough,Anthony Rosborough,Green Party of Nova Scotia,378,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Chebucto,Halifax Chebucto,David Atchison,David Atchison,Progressive Conservative Association of Nova Scotia,544,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Howard Epstein,Howard Epstein,Nova Scotia New Democratic Party,4446,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jane Spurr,Jane Spurr,Nova Scotia Liberal Party,2535,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Chris Hanlon,Chris Hanlon,Green Party of Nova Scotia,348,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Citadel-Sable Island,Halifax Citadel-Sable Island,Ted Larsen,Ted Larsen,Progressive Conservative Association of Nova Scotia,1000,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Leonard Preyra,Leonard Preyra,Nova Scotia New Democratic Party,3785,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Gerry Walsh,Gerry Walsh,Nova Scotia Liberal Party,2584,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Ryan Watson,Ryan Watson,Green Party of Nova Scotia,329,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Clayton Park,Halifax Clayton Park,Debbie Hum,Debbie Hum,Progressive Conservative Association of Nova Scotia,1084,,,,,,,,,,,,,,,,,,,,,,,,
